galaxyID,timestep,t,dt,z,M_star,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10_old,sSFR_10,sSFR_100_old,sSFR_100
431,1474,4.977492788298710,0.208637038705610,1.2494155616288000,437474145.99878200,1.423855317923220,1.9500000000000000,6.850143425494480,43.67695192273100,1385231.6726220400,5403697.927510770,0.00316643094292913,-9.49942997911364000,0.0123520394906396,-9.9082613285255500
431,1440,4.863078928362500,0.114413859936210,1.2866713145888800,435245623.6433500,1.6219915894625400,1.9500000000000000,8.0431441270206,42.738758650405800,209364.0007888490,19585764.91751390,0.000481024941816317,-10.317832404265800000,0.0449993379682157,-9.3467938755327800
431,1344,4.540028029726260,0.323050898636240,1.39987738574965,395886391.261335,4.259012991059980,6.049999999999990,7.203992387879910,36.34153693141470,430156.25640369500,8632702.778285730,0.00108656489815973,-9.96394432910330000,0.0218060104334,-9.6614237844557
431,1248,4.216977131087000,0.323050898639260,1.5268009671834400,379963732.99088100,5.112525767461590,6.099999999999990,8.847164463533030,37.067671923804300,712519.5331634680,7232570.02014643,0.0018752303741067,-9.7269453711056400,0.01903490,-9.72044940
431,1152,3.97,0.246977131087,1.635,373000000,0.3424991224151300,-1,14.609548583543800,37.89033393365080,1845.2946624004300,1845.2946624004300,0.00000494717067667676,-12.30564310628020000000,0.00000494717067667676,-13.30564310628020000000
431,1104,3.732400783128230,0.23759921687177,1.749737076322600,362391418.3885430,3.5135704149866200,6.049999999999990,7.907271238919750,36.579336603243600,343441.34373027500,2555379.7961386600,0.000947708268748377,-10.023325330142200000,0.00705143573074038,-10.15172244805030000
431,1056,3.57087533380848,0.16152544931975,1.8348024148865000,359647389.02283100,3.2130084811859700,5.19999999999999,8.038000338785650,35.85476721634650,762991.6300701170,7055180.125615610,0.0021214991498845,-9.6733571379254300,0.0196169368691503,-9.7073688055534900
431,972,3.2882057975011100,0.28266953630737,1.9998184905483100,349565388.11705600,3.2777128119866700,5.24999999999999,7.916946652513030,33.682154507725900,318177.9990079790,2625355.8623652200,0.000910210249137805,-10.040858278564900000,0.00751034270442727,-10.12434024525340000
431,960,3.247824435164410,0.0403813623367,2.025291841891540,349676155.1376050,3.7954906210187900,5.299999999999990,8.11701970567032,33.26794440742190,601826.6444438560,4701898.176346770,0.0017210971797806,-9.7641946070397100,0.0134464363876813,-9.8713927983552400
431,864,2.924773536526320,0.323050898638090,2.2494992472334000,328973423.28915600,2.636433741566780,6.249999999999990,7.680584502176080,27.92934710623150,1817079.1971687500,16541592.19209400,0.0055234832619643,-9.2577869577137100,0.05028246,-9.29858348
431,775,2.625278432569590,0.299495103956730,2.496966179547640,288909067.0706930,1.709238445160820,4.849999999999990,7.881901061528360,24.98991056956060,39954137.14426430,91353109.22313080,0.138293122986299,-7.859199415865820,0.316200215345881,-8.500037838630580
431,768,2.6017226378771800,0.02355579469241,2.5184004086558500,214672744.67240100,2.5780915927538600,77.84999999999770,7.556737774953190,29.79392816942840,4333489.008655780,22759850.63235790,0.0201864890453087,-8.6949392095774600,0.10602115,-8.97460749
431,672,2.278671739236450,0.32305089864073,2.848559743307330,177871407.5003750,28.69612986733020,92.4499999999991,6.1199420406289300,24.181193720428300,443077.06177039400,2499464.701024190,0.0024909965463081,-9.6036268745993300,0.0140520881694767,-9.8522591339015700
431,635,2.1541625387164300,0.12450920052002,2.9972897389778200,176809130.17492100,33.09925751312710,94.0999999999991,6.197553808482890,22.154620058370800,258824.98669223200,10959753.16137870,0.00146386663650328,-9.83449848725915000,0.06198635,-9.20770394
431,576,1.9556208405943600,0.1985416981220700,3.266336524173910,161095277.53510100,94.55251736860890,94.55251737,5.766663355961140,21.48021084353740,360687.314580909,13544373.572437000,0.0022389688890931,-9.6499519409850900,0.0840767884675317,-9.0753238856747100
431,480,1.6325699419522200,0.3230508986421400,3.816678440075690,140716707.6426330,94.43842508180040,94.54999999999920,5.516077432637850,19.60988504566420,362273.1683452970,5411992.928818030,0.00257448581916323,-9.58930949602013000,0.0384602014890971,-9.4149884448668100
431,454,1.5450769902362000,0.0874929517160200,3.9979920300792900,138472376.8797580,94.25120815514690,94.39999999999920,5.966098305324880,18.998734975858900,989256.0033382620,9767435.86817532,0.00714406747128547,-9.14605445245817000,0.0705370709181719,-9.1515825785569100
