galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_lossigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
569,002112,7.1244352245247,0.7339871656633032,234804430.26757923,2149.693645351044,1495.0914861826095,3.204345703125,21.546274385118835,10.490714445649406,16.240081778570644,10.427330755329244,16.44524283155701,10.490714445649406,26.860672676126537,18.195059825301357,15.474710586180377,17.818629252997532,9.78511398752776,-0.11113966003562652,193080.3130887732,1457627.7898706107,-10.08496829250364,-10.20705964728893
569,002016,6.8013843261455795,0.7950046705396918,226217902.26517406,2012.624286567203,1390.2946254706758,3.204345703125,20.833566513413057,9.572428920278593,13.561435071459028,9.256974941006675,18.913954612704572,9.572428920278593,35.986206732166075,22.92344977334247,18.14627392307922,23.144896888051765,9.899653954363375,-0.10603738973167265,93202.42419184592,2364125.0707605523,-10.385099762339784,-9.980856522260513
569,001920,6.478333427776417,0.8606679887426503,216674164.79005522,1877.7307805407702,1287.5078464517405,2.8228759765625,20.013870569755195,9.63442418076967,15.276828248244772,10.233878269648507,20.497779097269976,9.63442418076967,39.981327627799494,26.207944023364355,19.359064883913653,26.242727288436672,10.591839088211755,-0.047274096775317194,406548.68309302966,5546615.743962247,-9.726694572551457,-9.59177905111575
569,001824,6.15528252941362,0.93162260932684,199445262.8666502,1747.638737264694,1190.9031649521612,3.1280517578125,19.37973937023029,11.090320445127105,14.841575294492747,10.796916015288502,19.467937652336804,11.090320445127105,35.782537633202715,24.14024431648103,18.827017463180315,23.997408365873625,11.742297504058449,-0.06348432747578499,1009952.1841503675,2452718.1404974973,-9.295522912861129,-9.910176082435243
569,001728,5.832231631047542,1.0086446208612998,185837691.51964065,1620.9826827260085,1096.1343281621512,2.899169921875,26.324343559872077,21.184526778303926,34.291746712484105,20.994411254977514,24.194377195630246,21.184526778303926,41.33958118899448,28.49651177205112,21.68992344332933,28.156495638385728,23.877219458845225,-0.05376638062906224,475822.73327488883,3058511.7727729627,-9.591688614623024,-9.783623645492806
569,001632,5.509180732683106,1.0926761521982362,170363445.55695367,1494.6486725565246,1001.3781024805287,2.9754638671875,19.056023172138676,11.110878034021521,17.797610782997516,10.795276222741116,22.095812436359992,11.110878034021521,43.68506773696268,30.20756357799446,20.89778103644817,30.241656088187938,10.789685131022313,-0.11596933291216689,34833.5262455768,4686762.077432947,-10.68937897407598,-9.56050350778022
569,001536,5.186129834323076,1.1848732051724267,153938092.12819892,1372.8733044738196,911.2750004672239,2.899169921875,20.833950242989577,9.950216119887862,12.411116180327507,9.127602104968794,20.64528609557351,9.950216119887862,29.688600890463974,21.254658101132804,20.553949180020677,21.245810587494447,11.727595900101027,-0.07737500062301732,68414.72755318118,1699724.2357422463,-10.352196497898694,-9.956967632813416
569,001440,4.863078935947449,1.286671312072754,146093341.24994794,1258.9905089494725,826.2343456731462,2.899169921875,21.809405339873393,12.970339341421894,25.538030328923814,12.583331367278216,23.405960404200087,12.970339341421894,32.68063148336107,23.380392395292297,22.40901549133181,23.242918670472665,17.358601690687543,-0.14652002700384437,43310.258667801754,290270.1737026091,-10.528039644257074,-10.70182800897659
569,001344,4.540028037574266,1.3998773828434359,128972708.74102181,1149.441172032154,748.9399178509143,3.0517578125,23.56280084326582,5.674172642935343,8.191930890629164,5.729645595604746,22.613759241471424,5.674172642935343,43.20262554971915,25.455741588116883,21.71765844662987,25.36627452241784,13.151254256971193,-0.15548718462786804,487061.9353524041,1751237.3888753606,-9.42291363106548,-9.867152800338975
569,001248,4.216977139200331,1.5268009638001507,124701931.24015531,1041.5560921825331,673.9518394249619,4.08172607421875,20.22001495596125,12.233351928575651,17.529821972231826,12.20049033876969,25.255546649509522,12.233351928575651,57.65037716194879,36.153584062960824,24.274868707017877,35.798656565273305,12.867975040899,-0.14827208089088667,501185.164309501,13816922.968742061,-9.395874972516856,-8.955461843038323
