galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_coldgas_los,sigma_hotgas_los,SFR_10,SFR_100,sSFR_10,sSFR_100
m11h_r7100,272,5.707367437,8.028848585,1.032258034,1336286000.0,6.103515625,31.25821304321289,20.75196426027665,34.32027053833008,24.52519057814928,25.16960187522885,29.89099284594902,6953920.0,66087640.0,-9.283669712694817,-9.305779159392452
m11h_r7100,271,5.681809906,8.054406117,1.038835049,1313857900.0,6.103515625,31.292818069458008,21.293905887531867,22.817811965942383,16.52743700839547,18.58071761420247,30.255061706382858,3151384.8,60879580.0,-9.620046974283552,-9.334076755720616
m11h_r7100,270,5.656267919,8.079948103,1.045454502,1306183700.0,6.40869140625,32.5801887512207,22.170386254197325,39.31879425048828,21.707257423760552,25.659417898339434,30.185028342440148,4833265.0,65351084.0,-9.431763645756993,-9.300751457441244
m11h_r7100,269,5.630741717,8.105474305,1.052117348,1299365200.0,6.40869140625,33.713462829589844,22.08995430500171,43.894317626953125,20.413081464948473,23.097704146426338,28.897840299412238,11450732.0,69773336.0,-9.05489799692794,-9.27004175927325
m11h_r7100,268,5.605231539,8.130984483,1.058823586,1274754000.0,6.103515625,34.105751037597656,22.038740655897758,29.238994598388672,17.33635369125419,16.071253655874784,28.149283572028605,7679518.0,54132596.0,-9.220092437076616,-9.371967544995288
m11h_r7100,267,5.579738106,8.156477917,1.065573692,1257462900.0,5.79833984375,34.36954116821289,22.68555066560767,24.727340698242188,15.449625907245473,16.67088651352224,28.707790689481982,6180736.0,44949990.0,-9.308454990889544,-9.446765565925654
m11h_r7100,266,5.5542607,8.181955322,1.072368383,1244977900.0,5.79833984375,33.89118957519531,21.710829786106792,21.68210220336914,16.645620878716155,17.035545513658306,28.016877546034678,5180791.0,35832110.0,-9.380765576553541,-9.540889242269207
m11h_r7100,265,5.528800044,8.207415978,1.079207897,1233358100.0,6.103515625,32.79751205444336,21.4830014408767,25.218704223632812,14.562106005002573,15.687008571932228,27.87809468643171,4969997.5,26146980.0,-9.394733013044712,-9.673667648628225
m11h_r7100,264,5.50335638,8.232859642,1.086092472,1224917100.0,6.103515625,31.01670265197754,20.02903902307939,24.673311233520508,13.553968803046201,16.674029609999614,28.003566339177347,4194801.0,22666852.0,-9.465395341718791,-9.732715495614599
m11h_r7100,263,5.477929951,8.258286071,1.093023062,1216169600.0,6.103515625,29.508743286132812,19.27701536878576,18.794591903686523,12.790300408065843,17.22167485425205,28.571914658050357,2288130.2,16401349.0,-9.72551340067075,-9.870114573416567
m11h_r7100,262,5.452521003,8.28369502,1.099999905,1213419100.0,6.40869140625,28.923032760620117,19.209168363615305,14.824557304382324,16.852589818487957,16.75404465193256,29.259409191035225,1295045.1,15007596.0,-9.971725938234128,-9.907699709507439
m11h_r7100,261,5.427129779,8.309086244,1.107023239,1211913700.0,7.01904296875,28.19757652282715,19.132789778169318,17.499738693237305,12.202165077693738,15.570078453542086,29.846110161945774,3279642.0,16579812.0,-9.56764526551861,-9.86389210325198
