Mgas,Mbar
485401359.31042194,5962765863.284036
1519722197.891509,7311902334.42171
2489450465.6637216,3639319689.1789494
6109894272.240274,9258876723.861172
5951234878.681152,7295945266.494297
5306040462.629002,6765811241.190922
635472690.1138849,3783406968.967992
8134347581.60927,9212108759.558506
8371129705.424428,8755134492.5799
2671151441.792804,4352886144.521739
41533709.367452815,9483208049.029495
9566155007.193659,11479339319.572277
8006292974.692642,8991604726.623402
760934283.1060638,6597421845.897482
3538951435.6697464,4404211764.777781
0.0,6883204891.19879
8816501831.776228,9866162758.916206
7405524085.676971,8378997548.01076
29882977.03889198,7145496133.901318
6421559495.523659,8596321146.786655
7991738079.4283285,8352184669.811836
7135596299.42688,8855198214.953508
1428941250.8362343,2475319293.928745
7281169535.099616,8197513407.099973
6980788779.51886,7765378561.718434
6808035352.512263,8845665516.789528
2589581698.891272,4274175965.825514
6791058008.102604,7633256174.507895
7975563570.16295,8691799420.597841
7201892283.939938,8411228339.087062
0.0,5704781279.330433
8735823108.374443,10119390608.54558
7156611842.929032,7820305430.3521595
3679910733.8222966,4543388248.126118
8275823240.481094,9091130062.25579
5672055624.810363,5973021804.02279
6528172544.189193,7168129631.860807
6782857551.91474,7509663038.487582
31751103.911220603,7414330002.517635
7196915.803919097,2997266346.928143
12885623.716824,7581827855.972071
1941923412.8923912,5787479903.154097
5874622869.113796,7067152349.304513
5616489031.164347,7397142873.410968
6535845826.05705,7499605000.6171665
